member_id,first_name,last_name,date_of_birth,gender,phone,email,address,city,state,country,membership_type,join_date,member_status,last_modified
MEM000004,Scott,Garcia,29-11-1982,F,(476) 855-4598,vbrewer@example.net,47338 Sharp Spurs Apt. 851,Denver,CO,USA,Premium,15-05-2025,Active,12-10-2025
MEM000006,Summer,Johnson,09-10-1993,M,(452) 962-9830,brownandrea@example.org,097 Stephanie Groves,Denver,CO,USA,Family,28-04-2025,Active,12-10-2025
MEM000015,William,Hughes,26-06-2006,F,(752) 973-4295,amy21@example.org,40812 David Ford Apt. 403,Denver,CO,USA,Student,01-06-2025,Active,12-10-2025
MEM000032,Jennifer,Wells,12-03-1998,M,(318) 309-3546,danielkim@example.net,2108 Carpenter Neck Suite 602,Denver,CO,USA,Premium,03-10-2025,Inactive,12-10-2025
MEM000033,Sarah,Copeland,12-01-1977,F,(470) 717-9004,jacquelineferguson@example.com,1473 Johnson Causeway Apt. 623,Denver,CO,USA,Premium,14-06-2023,Active,12-10-2025
MEM000001,Sara,Cook,08-11-1996,M,(587) 280-5803,patriciasims@example.net,49155 Colleen Extension,Miami,FL,USA,Basic,02-03-2024,Active,12-10-2025
MEM000009,Sherri,Smith,02-05-1947,F,(211) 896-2876,lopezebony@example.org,8861 Benson Drive Suite 809,Miami,FL,USA,Senior,24-10-2022,Inactive,12-10-2025
MEM000010,Robert,Chase,10-01-1983,M,(203) 939-5315,shawn78@example.net,8402 Jordan Radial,Miami,FL,USA,Basic,06-07-2024,Active,12-10-2025
MEM000013,Carolyn,Stone,12-12-2002,F,(445) 259-4946,marysteele@example.org,3957 Jason Route Suite 356,Miami,FL,USA,Student,24-10-2023,Inactive,12-10-2025
MEM000018,Pamela,Kennedy,16-07-1970,M,(885) 697-4510,plewis@example.com,2653 Judy Loaf Apt. 767,Miami,FL,USA,Family,05-10-2025,Active,12-10-2025
MEM000022,James,Armstrong,17-02-1998,M,(763) 300-1828,schambers@example.net,916 Jessica Locks Apt. 894,Miami,FL,USA,Basic,07-02-2023,Inactive,12-10-2025
MEM000024,Tiffany,Hernandez,16-01-2006,F,(665) 492-7930,lisarusso@example.com,65160 William Port Apt. 904,Miami,FL,USA,Student,21-03-2024,Active,12-10-2025
MEM000027,Carol,Thompson,23-04-2000,F,(783) 452-1651,dalton76@example.org,424 Herring Summit Suite 664,Miami,FL,USA,Basic,08-02-2024,Active,12-10-2025
MEM000045,Cynthia,Saunders,30-03-1965,F,(327) 937-5920,jacksonjessica@example.net,78208 Simmons Flats,Miami,FL,USA,Family,20-05-2023,Active,12-10-2025
MEM000050,Robert,Novak,14-07-2007,F,(986) 274-8461,gregory75@example.com,949 Vazquez Pass Apt. 045,Chicago,IL,USA,Student,14-06-2024,Inactive,12-10-2025
MEM000052,Linda,Cain,03-09-1998,F,(770) 455-2988,ematthews@example.org,294 Murray Islands,Chicago,IL,USA,Family,22-04-2025,Active,12-10-2025
MEM000053,Brittany,Leach,28-03-1969,F,(973) 653-9270,ismith@example.net,49133 Smith Fort,Chicago,IL,USA,Premium,12-08-2025,Inactive,12-10-2025
MEM000068,Neil,Taylor,06-10-1990,M,(630) 701-2729,william60@example.net,86897 Jennifer Course Suite 353,Chicago,IL,USA,Basic,22-08-2023,Active,12-10-2025
MEM000049,Shannon,Austin,03-06-1977,F,(440) 888-6085,fhays@example.net,6823 Susan Drive Apt. 613,Atlanta,GA,USA,Premium,30-10-2023,Active,12-10-2025
MEM000059,Evan,Jones,24-01-1991,M,(884) 895-7624,tiffanyboyd@example.org,833 Allen Mills Suite 138,Atlanta,GA,USA,Basic,01-05-2023,Active,12-10-2025
MEM000071,Anthony,Cook,18-08-1998,M,(229) 706-6325,williamsmadeline@example.org,21270 Mendez Burgs,Atlanta,GA,USA,Premium,24-06-2023,Active,12-10-2025
MEM000076,Bradley,Perez,22-02-2001,F,(980) 906-4033,walterfisher@example.net,14755 Brown Divide Suite 298,Atlanta,GA,USA,Student,20-03-2024,Active,12-10-2025
MEM000077,Christina,Davis,01-03-1982,F,(811) 489-2647,cynthiamcbride@example.net,0646 Stone Neck Suite 139,Atlanta,GA,USA,Basic,02-02-2025,Active,12-10-2025
MEM000081,Andrea,Schwartz,15-03-2000,M,(776) 511-2395,ramoslaura@example.org,96912 Johnson Trace Apt. 296,Atlanta,GA,USA,Basic,25-08-2024,Active,12-10-2025
MEM000083,Samuel,Ward,02-05-1993,F,(261) 824-2625,michaelhensley@example.org,181 Johnson Walk Apt. 304,Atlanta,GA,USA,Premium,25-01-2024,Active,12-10-2025
MEM000086,Lori,Nash,20-08-1988,F,(863) 352-5352,ynelson@example.net,095 Laura Union Suite 705,Atlanta,GA,USA,Family,20-07-2023,Active,12-10-2025
MEM000095,Joshua,Wu,12-06-2001,F,(229) 845-4920,timothytaylor@example.net,6018 Lindsey Expressway Apt. 658,Atlanta,GA,USA,Student,22-04-2025,Inactive,12-10-2025
MEM000096,Tracy,Lawrence,17-07-1988,O,(316) 672-2924,ortizjessica@example.com,424 Robinson Way Suite 785,Atlanta,GA,USA,Premium,15-11-2022,Active,12-10-2025
MEM000056,Victoria,Day,17-05-2002,F,(265) 624-7678,stevensalicia@example.org,33060 Ramirez Locks,Denver,CO,USA,Student,29-03-2023,Active,12-10-2025
MEM000061,Rebecca,Moreno,13-04-2001,M,(416) 665-6355,christopher64@example.net,90387 Johnson Isle,Denver,CO,USA,Student,09-06-2025,Active,12-10-2025
MEM000064,Robert,Roberts,11-06-2000,F,(423) 676-5198,troyhowell@example.com,906 Matthew Track,Denver,CO,USA,Student,03-01-2025,Active,12-10-2025
MEM000067,Victor,Smith,01-06-2007,F,(323) 779-1672,gilmorediane@example.net,633 Grimes Prairie,Denver,CO,USA,Basic,12-08-2025,Active,12-10-2025
MEM000070,David,Ramirez,28-07-1986,F,(530) 451-2419,mark45@example.org,457 Gonzalez Passage Suite 438,Denver,CO,USA,Premium,28-11-2022,Inactive,12-10-2025
MEM000075,Austin,Harris,24-04-1994,M,(664) 477-6023,watkinskelly@example.net,448 Valerie Extension Apt. 602,Denver,CO,USA,Family,24-11-2024,Active,12-10-2025
MEM000085,Patrick,Wise,02-05-1999,M,(664) 272-4824,ibarrera@example.org,653 Williams Road Apt. 137,Denver,CO,USA,Basic,20-05-2024,Active,12-10-2025
MEM000089,Zachary,Medina,26-05-1989,F,(789) 801-1339,terrence02@example.net,894 Carlson Ridges,Denver,CO,USA,Basic,09-01-2024,Active,12-10-2025
MEM000092,Rachel,Strong,20-08-1978,M,(290) 522-5135,garciascott@example.org,178 Adams Curve Suite 936,Denver,CO,USA,Premium,03-11-2024,Active,12-10-2025
MEM000094,Carrie,Lee,17-05-2002,F,(978) 252-4335,zimmermancraig@example.net,989 Torres Hill Suite 841,Denver,CO,USA,Student,06-08-2024,Active,12-10-2025
MEM000054,Crystal,Barnett,12-05-1994,F,(969) 453-5543,amartin@example.org,985 Phillip Hill Suite 255,Miami,FL,USA,Basic,20-01-2025,Inactive,12-10-2025
MEM000055,Stacy,Mahoney,15-05-1975,M,(478) 543-6238,kevin44@example.net,23213 Olson Junction Suite 956,Miami,FL,USA,Basic,19-04-2025,Active,12-10-2025
MEM000057,Darin,Ferguson,14-02-1992,M,(988) 798-1320,yquinn@example.net,18350 Kimberly Roads Suite 634,Miami,FL,USA,Basic,02-11-2023,Inactive,12-10-2025
MEM000058,Dustin,Winters,28-01-1994,M,(629) 751-9947,danieldyer@example.com,4840 Tiffany Drive Suite 224,Miami,FL,USA,Family,02-07-2024,Active,12-10-2025
MEM000065,Bradley,Robbins,20-03-1986,F,(367) 518-2771,emalone@example.net,5985 Sean Neck Suite 749,Miami,FL,USA,Family,12-02-2024,Active,12-10-2025
MEM000066,Kristina,Chung,04-07-1972,M,(932) 403-2245,arellanojoseph@example.net,83820 Timothy Mill,Miami,FL,USA,Premium,04-08-2024,Inactive,12-10-2025
MEM000069,Alice,Smith,17-12-1975,M,(951) 734-5425,madams@example.org,35340 Jennifer Knolls,Miami,FL,USA,Family,29-07-2024,Active,12-10-2025
MEM000072,Brenda,Phillips,13-01-1999,F,(918) 482-1166,jason55@example.net,2151 Robinson Plaza Apt. 920,Miami,FL,USA,Premium,24-08-2025,Active,12-10-2025
MEM000074,Michelle,Blackwell,19-05-2001,M,(795) 577-8753,zking@example.net,2909 Travis Squares Suite 661,Miami,FL,USA,Student,10-10-2025,Active,12-10-2025
MEM000078,Alejandro,Ho,06-08-1993,F,(480) 246-1893,zavalajean@example.org,05891 Scott Estates,Miami,FL,USA,Basic,10-04-2025,Active,12-10-2025
MEM000097,Benjamin,Nichols,12-10-1962,M,(694) 683-4993,jamesortiz@example.com,980 Kenneth Alley Apt. 680,Chicago,IL,USA,Basic,09-02-2023,Active,12-10-2025
MEM000098,James,Flores,07-01-2005,F,(339) 271-5526,vpowell@example.org,37552 Bennett Stream,Chicago,IL,USA,Student,17-04-2024,Active,12-10-2025
MEM000101,Bradley,Glass,10-07-1992,M,(684) 922-7246,rebeccafuller@example.org,18917 Stewart Dam,Chicago,IL,USA,Family,13-12-2023,Active,12-10-2025
MEM000104,Sandra,Barrett,31-07-1977,F,(746) 589-6188,joshuagrimes@example.com,69440 Samantha Canyon,Chicago,IL,USA,Premium,29-06-2025,Inactive,12-10-2025
MEM000099,David,Martin,24-10-1959,M,(505) 801-9022,taylorjulie@example.com,989 Edwards Road Apt. 104,Atlanta,GA,USA,Premium,30-07-2025,Active,12-10-2025
MEM000100,Daniel,Davis,08-12-1992,F,(666) 529-4090,megan84@example.net,38362 Sanders Squares Suite 895,Atlanta,GA,USA,Basic,04-11-2024,Active,12-10-2025
MEM000107,Noah,Oliver,09-01-1992,F,(779) 898-3950,sanchezjessica@example.net,2958 Richard Avenue,Atlanta,GA,USA,Basic,12-02-2023,Active,12-10-2025
MEM000109,Sabrina,Miller,28-10-1997,F,(494) 893-9955,rsanders@example.org,04090 Annette Mission Apt. 346,Atlanta,GA,USA,Premium,08-03-2024,Inactive,12-10-2025
MEM000115,Teresa,Murphy,29-01-2003,F,(534) 965-7807,josephwilliams@example.org,355 Hanson Islands Suite 366,Atlanta,GA,USA,Student,07-02-2025,Active,12-10-2025
MEM000120,Nathan,Allison,31-07-1988,F,(864) 618-2911,whenderson@example.net,6774 Andrews Locks Suite 910,Atlanta,GA,USA,Premium,23-11-2022,Active,12-10-2025
MEM000127,Jenny,Christensen,17-06-1967,F,(810) 202-5542,mirandacarrie@example.net,99190 Murphy Trace Apt. 670,Atlanta,GA,USA,Basic,08-01-2025,Active,12-10-2025
MEM000128,Kara,Sutton,30-09-1999,F,(334) 215-6869,tcannon@example.net,443 Justin Pines Suite 044,Atlanta,GA,USA,Premium,01-05-2025,Active,12-10-2025
MEM000140,Sarah,Reid,17-02-2004,F,(559) 206-3972,tmontgomery@example.com,488 William Vista,Atlanta,GA,USA,Student,03-07-2023,Active,12-10-2025
MEM000141,Allison,Miller,26-11-1977,O,(293) 964-9691,middletoncharlotte@example.net,5723 Amy Bypass,Atlanta,GA,USA,Basic,16-08-2024,Active,12-10-2025
MEM000103,Jerry,Myers,02-01-2005,F,(276) 680-5342,kevindiaz@example.com,9805 Kevin Trace,Denver,CO,USA,Student,27-03-2024,Inactive,12-10-2025
MEM000106,Christopher,Wheeler,31-05-1979,M,(506) 229-1753,steven87@example.net,894 Ruiz Summit,Denver,CO,USA,Premium,24-01-2025,Active,12-10-2025
MEM000111,Colleen,Page,03-01-2003,M,(785) 567-5847,awilkerson@example.net,4855 Flores Burgs,Denver,CO,USA,Student,20-03-2023,Active,12-10-2025
MEM000114,Cory,Dennis,26-09-1987,F,(843) 299-1645,nelsonnatalie@example.net,92970 William Springs Suite 900,Denver,CO,USA,Premium,09-10-2023,Active,12-10-2025
MEM000130,James,Torres,25-11-1976,F,(829) 244-9543,susangriffin@example.net,497 Bates Isle Suite 287,Denver,CO,USA,Premium,27-05-2023,Active,12-10-2025
MEM000132,Kayla,Hall,12-06-2002,M,(481) 839-9984,umartin@example.org,264 Hooper Plains,Denver,CO,USA,Student,15-10-2023,Active,12-10-2025
MEM000134,Joshua,Dean,17-02-1999,F,(608) 625-2557,samantha95@example.org,2666 Curtis Loop Apt. 442,Denver,CO,USA,Family,09-08-2025,Active,12-10-2025
MEM000145,John,Caldwell,21-10-2006,M,(508) 416-3248,denniscastro@example.org,4350 Valerie Coves,Denver,CO,USA,Student,29-04-2023,Active,12-10-2025
MEM000102,Mary,Santos,11-12-1990,F,(302) 650-2633,dennis48@example.org,325 Hannah Views,Miami,FL,USA,Basic,03-09-2024,Active,12-10-2025
MEM000112,Meghan,Mendez,18-01-1960,F,(902) 996-1803,donna81@example.org,2514 Michael Isle Apt. 896,Miami,FL,USA,Senior,22-10-2022,Active,12-10-2025
MEM000113,Jessica,Berry,27-05-1974,M,(560) 424-4115,linda27@example.com,1781 Madison Road Suite 397,Miami,FL,USA,Family,26-07-2024,Active,12-10-2025
MEM000118,Peter,Burns,17-03-1999,F,(665) 577-5295,hmercado@example.org,012 Davis View,Miami,FL,USA,Premium,09-04-2023,Active,12-10-2025
MEM000119,Gregory,Smith,28-06-1972,M,(225) 834-6374,orozcopamela@example.org,74200 Wheeler Stream,Miami,FL,USA,Family,01-12-2024,Active,12-10-2025
MEM000147,Karen,Mcdonald,12-05-1974,F,(243) 646-1307,scruz@example.net,36410 Joshua Walk Suite 693,Chicago,IL,USA,Family,13-03-2024,Active,12-10-2025
MEM000148,Steven,Wilson,10-08-1974,F,(627) 496-2887,richardweber@example.net,8494 Corey Street Apt. 010,Chicago,IL,USA,Premium,01-08-2023,Active,12-10-2025
MEM000149,Kelly,Martinez,22-08-1958,F,(906) 570-2443,davidscott@example.net,541 Jordan Ford Suite 623,Chicago,IL,USA,Senior,24-10-2024,Inactive,12-10-2025
MEM000166,James,Green,15-12-1975,F,(654) 825-5668,toddgardner@example.org,78735 Armstrong Burgs Suite 618,Chicago,IL,USA,Basic,04-03-2024,Active,12-10-2025
MEM000167,Melissa,Adkins,02-05-1995,F,(398) 576-8218,kimberly86@example.org,64807 Guerra Forest Apt. 712,Chicago,IL,USA,Basic,27-04-2023,Inactive,12-10-2025
MEM000172,Monica,Thompson,03-05-1974,M,(493) 683-3273,seth51@example.net,16559 Daniels Manors Apt. 659,Chicago,IL,USA,Premium,10-12-2023,Active,12-10-2025
MEM000173,Michael,Durham,27-02-1985,M,(353) 761-9647,jessicaduncan@example.net,22211 Stacey Estate Apt. 747,Chicago,IL,USA,Family,24-07-2023,Active,12-10-2025
MEM000179,Joshua,Jones,24-12-1999,F,(997) 901-8612,nicholas50@example.com,035 Nguyen Rest Suite 888,Chicago,IL,USA,Student,11-11-2022,Active,12-10-2025
MEM000182,Jesse,Riley,15-02-1993,M,(327) 576-8159,ahendrix@example.net,609 Walter Plaza,Chicago,IL,USA,Premium,12-06-2024,Inactive,12-10-2025
MEM000188,Tammy,Goodwin,09-03-2006,M,(780) 233-3513,duanegarcia@example.net,00519 Powell Tunnel,Chicago,IL,USA,Basic,08-02-2024,Active,12-10-2025
MEM000150,Olivia,Fletcher,14-04-1992,M,(517) 963-6562,connieruiz@example.net,75172 Smith Fall Apt. 844,Atlanta,GA,USA,Premium,26-03-2024,Active,12-10-2025
MEM000152,Natalie,Turner,11-04-1993,F,(978) 977-2234,ybooker@example.com,80826 Brianna Lane,Atlanta,GA,USA,Basic,06-05-2023,Active,12-10-2025
MEM000161,Kelly,Cooper,05-07-1978,F,(915) 878-7421,jesse31@example.net,4711 Richard Shoal Apt. 331,Atlanta,GA,USA,Basic,03-08-2023,Active,12-10-2025
MEM000163,Veronica,Shannon,17-03-1995,F,(549) 984-8967,taylor26@example.net,88245 Ryan Forks,Atlanta,GA,USA,Basic,11-09-2024,Active,12-10-2025
MEM000180,Christy,Robinson,21-07-1972,F,(500) 406-1717,anneanderson@example.net,336 Alvarez Way,Atlanta,GA,USA,Basic,02-08-2023,Active,12-10-2025
MEM000181,Derrick,Cox,20-04-1995,F,(684) 459-1599,christophernorman@example.com,969 Patricia Shoal,Atlanta,GA,USA,Basic,30-11-2023,Active,12-10-2025
MEM000189,Patrick,Roberts,06-10-1994,F,(607) 521-5566,mcdanielmatthew@example.com,110 Victoria Junctions,Atlanta,GA,USA,Premium,20-03-2024,Active,12-10-2025
MEM000151,Gina,Gilmore,08-02-1986,F,(398) 994-6724,xwilliams@example.net,0057 Mathis Hollow Suite 381,Denver,CO,USA,Basic,21-05-2025,Active,12-10-2025
MEM000153,Ronald,Williams,23-03-1994,F,(778) 858-6295,amytorres@example.org,346 Kelley Crescent,Denver,CO,USA,Premium,30-11-2023,Active,12-10-2025
MEM000156,Michele,Durham,02-05-1992,F,(242) 660-4084,riveramorgan@example.net,677 Bridget Plaza,Denver,CO,USA,Premium,29-09-2024,Active,12-10-2025
MEM000158,Joseph,Armstrong,26-10-2002,F,(824) 362-6962,shermantara@example.net,3811 Hector Canyon,Denver,CO,USA,Basic,14-04-2025,Inactive,12-10-2025
MEM000160,Cameron,Brown,22-12-2001,F,(872) 817-3463,gregoryhowell@example.com,387 Kristen Stream Suite 282,Denver,CO,USA,Basic,23-12-2024,Active,12-10-2025
MEM000146,Daniel,Campos,19-01-1992,M,(589) 745-4770,richard64@example.com,4984 Lam Junctions Suite 332,Miami,FL,USA,Basic,19-09-2023,Active,12-10-2025
MEM000154,Travis,Jones,14-03-1991,F,(805) 257-6766,andrew72@example.org,4310 Glenn Throughway Apt. 870,Miami,FL,USA,Premium,24-12-2023,Active,12-10-2025
MEM000155,Caroline,Watts,19-07-1994,F,(278) 860-2479,carlsonjennifer@example.org,599 Hart Vista Apt. 438,Miami,FL,USA,Premium,29-12-2024,Active,12-10-2025
MEM000157,Bailey,Walker,20-04-1998,M,(551) 931-2381,pmathews@example.com,0472 Johnson Place Apt. 789,Miami,FL,USA,Basic,04-09-2025,Active,12-10-2025
MEM000164,Mark,Brandt,11-08-1956,F,(719) 989-9843,kduffy@example.com,67341 Pineda Prairie Suite 238,Miami,FL,USA,Senior,06-04-2023,Active,12-10-2025
MEM000165,Jeffrey,Taylor,01-09-1975,F,(357) 366-3962,gblanchard@example.org,34357 Lamb Prairie,Miami,FL,USA,Family,28-07-2024,Active,12-10-2025
MEM000178,Michael,Williams,19-03-1951,F,(553) 446-2698,holdenjohn@example.net,656 Green Course,Miami,FL,USA,Senior,13-03-2025,Active,12-10-2025
MEM000195,Amy,Sandoval,07-12-1991,F,(288) 267-6067,tboyd@example.com,901 Angela Orchard,Chicago,IL,USA,Family,24-07-2023,Active,12-10-2025
MEM000196,Charles,Hernandez,09-07-1991,M,(524) 857-2215,elizabeth39@example.org,83581 Foster Turnpike,Chicago,IL,USA,Premium,11-11-2022,Inactive,12-10-2025
MEM000202,Brent,James,04-06-1997,F,(496) 857-5949,dschultz@example.net,48392 Joshua Corner,Chicago,IL,USA,Premium,24-04-2023,Active,12-10-2025
MEM000203,Heather,Harris,12-06-1969,M,(261) 361-8202,guerrerokathryn@example.net,0564 Thomas Course Suite 386,Chicago,IL,USA,Premium,05-09-2024,Active,12-10-2025
MEM000204,Angela,Martinez,19-12-1991,F,(526) 951-6658,katie08@example.org,00136 Sanchez Glens,Chicago,IL,USA,Basic,27-12-2024,Active,12-10-2025
MEM000197,Angela,West,22-04-1977,F,(855) 801-3981,uharris@example.org,3351 Cox Forks,Atlanta,GA,USA,Basic,25-09-2024,Inactive,12-10-2025
MEM000199,Patrick,Nichols,07-07-1991,F,(456) 401-5496,qaustin@example.org,5072 Johnson Pine,Atlanta,GA,USA,Family,31-07-2025,Active,12-10-2025
MEM000201,Suzanne,Smith,25-04-1998,F,(283) 246-5336,efernandez@example.org,97874 Herman Corners Suite 003,Atlanta,GA,USA,Family,14-01-2025,Active,12-10-2025
MEM000205,Maria,Francis,23-05-1975,M,(325) 473-8366,phillipsalexa@example.net,521 Sanders Plains Apt. 916,Atlanta,GA,USA,Premium,16-04-2023,Active,12-10-2025
MEM000222,Whitney,Gonzales,07-07-1992,F,(909) 470-8932,amandaevans@example.org,0719 Wendy Orchard,Atlanta,GA,USA,Premium,06-05-2024,Active,12-10-2025
MEM000226,Elizabeth,Ryan,05-10-1985,F,(477) 775-5450,joneslinda@example.net,3289 Paul Place,Atlanta,GA,USA,Premium,15-07-2025,Active,12-10-2025
MEM000198,Nichole,Reyes,25-01-1994,F,(511) 368-3653,pearsonrandall@example.net,2220 Cruz Rue Suite 634,Denver,CO,USA,Family,22-04-2025,Inactive,12-10-2025
MEM000215,Todd,Graham,13-01-1991,F,(686) 217-7035,markbailey@example.net,772 Kelly Circles,Denver,CO,USA,Premium,01-09-2024,Active,12-10-2025
MEM000221,Justin,Willis,20-10-1987,M,(377) 670-9734,kayla53@example.com,6920 Morris Tunnel,Denver,CO,USA,Family,18-12-2022,Active,12-10-2025
MEM000225,Tiffany,Alvarez,05-07-1964,M,(494) 931-2294,frostdanny@example.net,2722 Jared Motorway Apt. 427,Denver,CO,USA,Family,16-06-2025,Inactive,12-10-2025
MEM000231,Joshua,Johnson,28-11-1987,F,(496) 238-1151,santiagomelissa@example.org,203 Merritt Garden,Denver,CO,USA,Basic,26-09-2023,Active,12-10-2025
MEM000233,Holly,Weaver,12-03-1965,M,(366) 948-8518,tammygreen@example.net,00894 Terry Streets Suite 427,Denver,CO,USA,Premium,01-04-2024,Active,12-10-2025
MEM000236,Amanda,Salazar,20-02-1998,M,(796) 940-1187,tcooper@example.net,900 Danielle Curve Apt. 784,Denver,CO,USA,Premium,08-11-2022,Active,12-10-2025
MEM000237,Maxwell,Johnson,10-03-1976,M,(615) 902-9233,privera@example.com,46611 Atkins Common Suite 703,Denver,CO,USA,Basic,13-09-2024,Active,12-10-2025
MEM000194,Christopher,Houston,09-11-1997,M,(705) 226-6912,vcrosby@example.org,136 Lisa Streets Suite 854,Miami,FL,USA,Family,23-12-2023,Active,12-10-2025
MEM000200,Andrea,Booth,21-06-1987,F,(794) 357-3804,charles77@example.org,2863 Robert Views,Miami,FL,USA,Basic,11-09-2025,Active,12-10-2025
MEM000206,Amanda,Silva,17-11-2004,F,(454) 363-6364,heatherwhite@example.com,27748 Barker Springs,Miami,FL,USA,Student,03-06-2024,Active,12-10-2025
MEM000208,Gary,Guzman,26-12-1993,M,(251) 488-9108,toni74@example.net,24787 Bobby Junction,Miami,FL,USA,Family,17-07-2025,Active,12-10-2025
MEM000210,Stacy,Ingram,01-10-2007,M,(495) 275-7329,ibailey@example.org,028 Micheal Village Apt. 365,Miami,FL,USA,Student,23-02-2024,Active,12-10-2025
MEM000213,Jorge,Kim,09-10-2004,F,(731) 667-3440,lallen@example.org,87288 Hill Drive,Miami,FL,USA,Student,06-10-2025,Active,12-10-2025
MEM000214,Lori,Rios,02-02-2006,M,(831) 957-5902,carolyn98@example.org,55897 Kristi Stream,Miami,FL,USA,Basic,09-03-2024,Active,12-10-2025
MEM000216,Deanna,Gray,21-10-1950,F,(904) 844-1436,stacyrasmussen@example.org,34449 Samantha Road,Miami,FL,USA,Senior,30-09-2024,Active,12-10-2025
MEM000217,Kristina,Carrillo,01-10-1994,F,(433) 938-1841,kimjohnson@example.com,869 Daniel Mall,Miami,FL,USA,Premium,01-08-2024,Inactive,12-10-2025
MEM000220,Michael,Chambers,11-01-1982,F,(263) 922-3262,breannaturner@example.com,3559 Patricia Mountains,Miami,FL,USA,Family,30-06-2023,Inactive,12-10-2025
MEM000229,Mary,Wilson,08-03-1991,M,(861) 260-2465,ryan66@example.com,192 Brent Ferry,Miami,FL,USA,Basic,15-07-2023,Inactive,12-10-2025
MEM000239,Zachary,Ryan,07-12-1997,F,(880) 423-5054,dandrews@example.org,122 Harmon Estate Suite 255,Miami,FL,USA,Premium,23-05-2023,Inactive,12-10-2025
MEM000240,Misty,Reid,13-05-1995,F,(314) 263-9972,palmermichelle@example.net,16005 Daniel Drive,Miami,FL,USA,Premium,26-10-2024,Active,12-10-2025
MEM000241,Thomas,Powers,02-09-1982,F,(319) 896-4365,zcarroll@example.net,767 Christian Stream,Miami,FL,USA,Basic,24-07-2024,Active,12-10-2025
MEM000245,Brandi,Shelton,22-11-2001,F,(630) 583-7266,swright@example.org,7719 Patterson Viaduct Apt. 883,Chicago,IL,USA,Student,22-04-2023,Active,12-10-2025
MEM000247,Julie,Bowman,29-10-1997,F,(974) 223-5888,christopher20@example.org,029 Peter Freeway Apt. 738,Chicago,IL,USA,Basic,15-12-2024,Inactive,12-10-2025
