staffid,employeenumber,firstname,lastname,email,phone,hiredate,jobtitle,department,employmenttype,hourlyrate,status,terminationdate
STF0053,EMP73922,Casey,Wilson,glennsandra@example.net,(678) 238-6448,2024-02-21,Group Fitness Instructor,Fitness,Part-time,28,Terminated,2024-09-17
STF0054,EMP39322,Tracy,Martinez,barreraamy@example.net,+1-678-828-6524,2022-08-17,Maintenance Technician,Maintenance,Full-time,18,On Leave,
STF0055,EMP36758,Deborah,Hughes,alison05@example.org,(470) 442-8230,2019-01-09,Maintenance Technician,Maintenance,Full-time,18,Active,
STF0056,EMP73765,Sandra,Prince,baileyduncan@example.com,770-842-3732,2019-07-30,Personal Trainer,Fitness,Full-time,23,Active,
STF0057,EMP73250,Randy,Davies,joseroberts@example.com,404-416-1126,2018-10-08,Lifeguard,Aquatics,Part-time,16,Active,
STF0058,EMP85913,Holly,Fisher,matthewcherry@example.com,(470) 783-2144,2023-06-17,Membership Consultant,Sales,Full-time,17,Active,
STF0059,EMP20740,Michelle,Travis,cblake@example.net,(678) 835-1511,2023-12-01,Front Desk Associate,Operations,Part-time,15,On Leave,
STF0060,EMP11013,Amber,Ford,ithompson@example.net,404-528-7005,2023-01-21,Personal Trainer,Fitness,Full-time,25,Active,
STF0061,EMP50885,Jamie,Fernandez,qward@example.com,(470) 260-9284,2021-04-02,Nutritionist,Wellness,Contract,38,Active,
STF0062,EMP61692,Jillian,Lawrence,knighttommy@example.net,+1-678-272-3445,2022-09-06,Lifeguard,Aquatics,Part-time,12,Active,
STF0063,EMP18021,Phillip,Todd,hancockhannah@example.net,404-812-9562,2018-07-19,Personal Trainer,Fitness,Full-time,35,Active,
STF0064,EMP60761,Cory,Ramos,zachary99@example.net,770-783-6861,2023-03-10,Membership Consultant,Sales,Full-time,20,Active,
STF0065,EMP59207,Jason,Stephens,waynecarter@example.org,(470) 582-9590,2022-01-24,Membership Consultant,Sales,Full-time,16,Active,
STF0066,EMP24110,Alexander,Gomez,lauren60@example.net,404-991-6853,2023-06-28,Personal Trainer,Fitness,Full-time,23,Active,
STF0067,EMP88212,Nicole,Beck,matthew20@example.com,404-947-8742,2025-01-30,Nutritionist,Wellness,Contract,50,Active,
STF0068,EMP26878,Daniel,Mclean,reynoldsalex@example.net,+1-770-800-3442,2022-11-26,Group Fitness Instructor,Fitness,Part-time,26,Active,
STF0069,EMP71882,Timothy,Wilson,susanbell@example.org,678-553-5838,2025-07-18,Group Fitness Instructor,Fitness,Part-time,42,Active,
STF0070,EMP10658,Kevin,Mcmillan,jnewton@example.org,+1-470-732-6652,2023-01-09,Personal Trainer,Fitness,Full-time,28,Active,
STF0071,EMP83842,Melody,Romero,efreeman@example.org,404-468-8103,2020-05-06,Personal Trainer,Fitness,Full-time,28,Active,
STF0072,EMP73293,Sarah,Edwards,michellesharp@example.org,(770) 492-3474,2018-12-05,Lifeguard,Aquatics,Part-time,14,Active,
STF0073,EMP60114,Deborah,Carr,donna53@example.com,+1-678-694-5197,2018-10-08,Lifeguard,Aquatics,Part-time,13,Active,
STF0074,EMP47377,Cindy,Alvarado,valenzuelacatherine@example.net,770-903-4350,2025-06-18,Front Desk Associate,Operations,Part-time,13,On Leave,
STF0075,EMP79804,David,Levine,dawnreid@example.org,470-922-2095,2023-10-31,Maintenance Technician,Maintenance,Full-time,21,On Leave,
STF0076,EMP54608,Wayne,Fischer,dwilliams@example.com,+1-770-447-5090,2019-12-10,Personal Trainer,Fitness,Full-time,27,Active,
STF0077,EMP93942,Dennis,Davis,gramirez@example.org,470-993-1529,2021-05-29,Group Fitness Instructor,Fitness,Part-time,33,Active,
STF0078,EMP38210,Paul,Wiggins,joneseddie@example.net,+1-770-405-5690,2025-02-12,Maintenance Technician,Maintenance,Full-time,19,Active,
STF0079,EMP91909,Jesse,Manning,nicolekelly@example.org,404-598-3092,2022-02-15,Group Fitness Instructor,Fitness,Part-time,29,Active,
STF0080,EMP70608,Susan,Zuniga,angelajohnson@example.net,+1-678-871-4002,2023-03-14,Personal Trainer,Fitness,Full-time,24,Active,
STF0081,EMP39036,Isaac,Pratt,clarkjoseph@example.com,+1-678-627-5500,2022-05-21,Membership Consultant,Sales,Full-time,19,Active,
STF0082,EMP88546,Manuel,Cohen,shaynes@example.com,470-731-6115,2025-03-27,Nutritionist,Wellness,Contract,35,Active,
STF0083,EMP10493,Renee,Johnson,michelleallen@example.org,(470) 761-3305,2021-09-11,Group Fitness Instructor,Fitness,Part-time,34,Active,
STF0084,EMP36111,Stephanie,Fleming,jeremy29@example.com,470-833-9463,2025-07-12,Front Desk Associate,Operations,Part-time,12,Active,
STF0085,EMP17696,Amanda,Silva,brianpark@example.org,678-904-8175,2025-03-09,Group Fitness Instructor,Fitness,Part-time,25,Active,
STF0086,EMP15494,William,Bowen,rodney08@example.org,(470) 801-9328,2021-06-17,Group Fitness Instructor,Fitness,Part-time,42,Active,
STF0087,EMP73259,Andrew,Jones,joshuawilliams@example.org,(678) 433-2088,2020-04-23,Personal Trainer,Fitness,Full-time,18,Active,
STF0088,EMP27524,Ashley,Clayton,robingomez@example.com,(678) 231-1002,2023-01-16,Front Desk Associate,Operations,Part-time,14,Active,
STF0089,EMP79766,Dennis,Bauer,levinekimberly@example.net,470-594-8548,2019-10-22,Personal Trainer,Fitness,Full-time,22,On Leave,
STF0090,EMP21596,James,Walter,browningcindy@example.org,(470) 615-2276,2018-09-02,Front Desk Associate,Operations,Part-time,15,Active,
STF0091,EMP54525,Elizabeth,Pollard,hallsharon@example.org,+1-770-219-1861,2019-07-08,Membership Consultant,Sales,Full-time,20,Active,
STF0092,EMP83733,Amy,Alvarez,arthur84@example.org,+1-678-634-8495,2022-10-01,Group Fitness Instructor,Fitness,Part-time,39,Active,
STF0093,EMP14458,Rebecca,Miller,cindyhouston@example.net,+1-470-350-5547,2023-04-20,Front Desk Associate,Operations,Part-time,12,Active,
STF0094,EMP23601,Christina,Friedman,jamie90@example.com,+1-678-709-9108,2025-03-14,Front Desk Associate,Operations,Part-time,12,Active,
STF0095,EMP75255,Sarah,Ramirez,ksmith@example.org,(404) 755-8366,2024-04-01,Group Fitness Instructor,Fitness,Part-time,29,Active,
STF0096,EMP44381,Deborah,Burch,urodriguez@example.org,+1-470-986-6438,2018-03-31,Childcare Attendant,Childcare,Part-time,11,Active,
STF0097,EMP30121,Heather,Hudson,iparker@example.org,+1-470-403-9607,2024-01-24,General Manager,Management,Full-time,45,Active,
STF0098,EMP94636,Sandra,Lucas,christopher75@example.org,(678) 544-8994,2022-10-13,Group Fitness Instructor,Fitness,Part-time,38,Active,
STF0099,EMP32662,Michael,Nelson,sandovaldavid@example.org,+1-770-237-6775,2019-08-25,Membership Consultant,Sales,Full-time,25,Active,
STF0100,EMP39138,Timothy,Foster,wmyers@example.com,470-834-7447,2018-10-21,Membership Consultant,Sales,Full-time,22,Active,
